"childid","country","sex","enrolled","dropout","mother_edu","father_edu","ppvt_score","hhsize","region","typesite"
"IN020082","India",1,NA,1,NA,-Inf,NA,4,"21","2"
"IN020083","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN020084","India",1,1,0,NA,-Inf,52,4,"21","2"
"IN020085","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN020086","India",1,1,0,NA,-Inf,43,5,"21","1"
"IN020087","India",1,1,0,NA,-Inf,105,3,"21","2"
"IN020088","India",1,1,0,NA,-Inf,29,3,"21","2"
"IN020089","India",0,1,0,-Inf,-Inf,36,3,"21","2"
"IN020090","India",0,1,0,NA,-Inf,62,5,"21","2"
"IN020091","India",0,1,0,NA,-Inf,62,8,"21","2"
"IN020092","India",0,1,0,NA,-Inf,31,5,"21","2"
"IN020093","India",1,1,0,NA,-Inf,91,4,"21","2"
"IN020094","India",1,1,0,NA,-Inf,80,5,"21","2"
"IN020095","India",1,1,0,NA,NA,58,3,"21","2"
"IN020096","India",0,1,0,NA,-Inf,126,4,"21","2"
"IN020097","India",1,1,0,NA,-Inf,111,7,"21","2"
"IN020098","India",1,1,0,NA,-Inf,112,4,"21","2"
"IN020099","India",1,0,1,NA,-Inf,48,4,"21","2"
"IN020100","India",0,1,0,NA,-Inf,63,4,"23","1"
"IN030001","India",1,1,0,NA,-Inf,96,6,"21","1"
"IN030002","India",0,1,0,NA,-Inf,52,6,"21","1"
"IN030003","India",0,1,0,NA,-Inf,134,3,"21","1"
"IN030004","India",1,1,0,NA,-Inf,66,5,"21","1"
"IN030005","India",1,1,0,NA,-Inf,83,8,"21","1"
"IN030006","India",0,1,0,NA,-Inf,41,5,"21","1"
"IN030007","India",0,0,1,NA,-Inf,53,4,"23","1"
"IN030008","India",1,1,0,NA,-Inf,88,4,"21","1"
"IN030009","India",1,1,0,NA,-Inf,25,5,"21","1"
"IN030010","India",1,1,0,NA,-Inf,36,10,"21","1"
"IN030011","India",0,1,0,NA,-Inf,70,5,"21","1"
"IN030012","India",1,1,0,NA,-Inf,107,5,"21","1"
"IN030013","India",1,1,0,NA,-Inf,116,8,"21","1"
"IN030014","India",0,1,0,NA,-Inf,48,5,"21","1"
"IN030015","India",1,1,0,NA,-Inf,76,4,"21","1"
"IN030016","India",1,1,0,NA,-Inf,94,5,"21","1"
"IN030017","India",0,1,0,NA,-Inf,101,4,"21","1"
"IN030018","India",1,1,0,NA,-Inf,115,6,"21","1"
"IN030019","India",1,1,0,NA,-Inf,43,9,"21","1"
"IN030020","India",0,1,0,NA,-Inf,124,8,"21","1"
"IN030021","India",1,1,0,NA,-Inf,120,5,"21","1"
"IN030022","India",0,1,0,NA,-Inf,91,3,"21","1"
"IN030023","India",0,1,0,NA,-Inf,63,3,"21","1"
"IN030024","India",1,1,0,NA,-Inf,105,7,"21","1"
"IN030026","India",0,1,0,NA,-Inf,40,7,"21","1"
"IN030027","India",1,1,0,NA,-Inf,46,10,"21","1"
"IN030028","India",0,1,0,NA,-Inf,121,2,"21","1"
"IN030029","India",1,1,0,NA,-Inf,128,6,"21","1"
"IN030030","India",0,1,0,NA,-Inf,37,4,"21","1"
"IN030031","India",1,1,0,NA,-Inf,52,7,"21","1"
"IN030032","India",0,1,0,NA,-Inf,28,4,"21","1"
"IN030033","India",0,1,0,NA,-Inf,39,3,"21","1"
"IN030034","India",0,1,0,NA,-Inf,32,5,"21","1"
"IN030035","India",1,NA,1,NA,-Inf,NA,6,"21","1"
"IN030036","India",0,1,0,NA,-Inf,41,4,"21","1"
"IN030037","India",0,1,0,NA,-Inf,56,4,"21","1"
"IN030038","India",1,1,0,NA,-Inf,81,9,"21","1"
"IN030039","India",1,1,0,NA,-Inf,44,4,"21","1"
"IN030040","India",0,1,0,NA,-Inf,40,5,"21","1"
"IN030042","India",0,1,0,NA,-Inf,45,4,"21","1"
"IN030043","India",0,1,0,NA,-Inf,26,5,"21","1"
"IN030045","India",0,1,0,NA,-Inf,100,4,"21","1"
"IN030047","India",1,1,0,NA,-Inf,NA,5,"21","1"
"IN030048","India",0,1,0,NA,-Inf,100,4,"21","1"
"IN030050","India",0,1,0,NA,-Inf,119,5,"21","1"
"IN030051","India",0,1,0,NA,-Inf,109,5,"21","1"
"IN030052","India",0,1,0,NA,-Inf,65,5,"21","1"
"IN030053","India",0,1,0,NA,-Inf,79,5,"21","1"
"IN030054","India",0,1,0,NA,-Inf,117,4,"21","1"
"IN030055","India",0,1,0,NA,-Inf,84,11,"21","1"
"IN030056","India",1,1,0,NA,-Inf,53,4,"21","1"
"IN030057","India",0,1,0,NA,-Inf,85,3,"21","1"
"IN030058","India",1,1,0,NA,-Inf,33,7,"21","1"
"IN030059","India",0,1,0,NA,-Inf,79,4,"21","1"
"IN030060","India",0,1,0,NA,-Inf,87,4,"21","1"
"IN030061","India",1,1,0,NA,-Inf,122,4,"21","1"
"IN030063","India",0,1,0,NA,-Inf,87,5,"21","1"
